name	columns
bgmadventure	1
bgmanimal	3
bgmbeyo	1
bgmboss	8
bgmbrave	1
bgmbuddy	1
bgmdemon	1
bgmdk	4
bgmdolly	1
bgmdracula	1
bgmedge	1
bgmelement	1
bgmfe	3
bgmff	1
bgmfox	3
bgmfzero	3
bgmgamewatch	1
bgmicaros	3
bgmjack	1
bgmkirby	6
bgmmario	16
bgmmaster	1
bgmmetalgear	1
bgmmetroid	4
bgmmkart	2
bgmmother	4
bgmother	11
bgmpacman	1
bgmpickel	1
bgmpikmin	2
bgmpokemon	7
bgmpunchout	2
bgmrockman	1
bgmsf	1
bgmsmashbtl	4
bgmsmashmenu	1
bgmsmashmode	7
bgmsonic	2
bgmspla	1
bgmstageedit	1
bgmtantan	1
bgmtrail	1
bgmwario	2
bgmwiifit	1
bgmxenoblade	1
bgmyoshi	4
bgmzelda	9
