kind	name
0	mario
1	donkey
2	link
3	samus
4	samusd
5	yoshi
6	kirby
7	fox
8	pikachu
9	luigi
10	ness
11	captain
12	purin
13	peach
14	daisy
15	koopa
16	sheik
17	zelda
18	mariod
19	pichu
20	falco
21	marth
22	lucina
23	younglink
24	ganon
25	mewtwo
26	roy
27	chrom
28	gamewatch
29	metaknight
30	pit
31	pitb
32	szerosuit
33	wario
34	snake
35	ike
36	pzenigame
37	pfushigisou
38	plizardon
39	diddy
40	lucas
41	sonic
42	dedede
43	pikmin
44	lucario
45	robot
46	toonlink
47	wolf
48	murabito
49	rockman
50	wiifit
51	rosetta
52	littlemac
53	gekkouga
54	palutena
55	pacman
56	reflet
57	shulk
58	koopajr
59	duckhunt
60	ryu
61	ken
62	cloud
63	kamui
64	bayonetta
65	inkling
66	ridley
67	simon
68	richter
69	krool
70	shizue
71	gaogaen
72	miifighter
73	miiswordsman
74	miigunner
75	popo
76	nana
77	koopag
78	miienemyf
79	miienemys
80	miienemyg
81	packun
82	jack
83	brave
84	buddy
85	dolly
86	master
87	tantan
88	pickel
89	edge
90	eflame
91	elight
92	demon
93	trail
94	term
109	table_ex_start
110	ice_climber
111	zenigame
112	fushigisou
113	lizardon
114	ptrainer
115	flame
116	light
117	element
