kind	name	root
0	assist	item
1	barrel	item
2	box	item
3	capsule	item
4	carrierbox	item
5	kusudama	item
6	pokeball	item
7	masterball	item
8	sandbag	item
9	grass	item
10	maximtomato	item
11	heart	item
12	tabemono	item
13	fairybottle	item
14	finalpeach	item
15	finaldaisy	item
16	healball	item
17	teamhealfield	item
18	curry	item
19	curryshot	item
20	metalblock	item
21	mushd	item
22	mushroom	item
23	slow	item
24	superstar	item
25	thunder	item
26	warpstar	item
27	fireflower	item
28	fireflowershot	item
29	raygun	item
30	raygunshot	item
31	superscope	item
32	superscopeshot	item
33	drill	item
34	drillshot	item
35	steeldiver	item
36	steeldivershot	item
37	magicpot	item
38	magicpotwind	item
39	revengeshooter	item
40	revengeshootershot	item
41	bananagun	item
42	bananagunshot	item
43	staff	item
44	staffshot	item
45	staffroulette	item
46	staffrouletteshot	item
47	walkmush	item
48	walkmushflower	item
49	walkmushshot	item
50	beamsword	item
51	goldenhammer	item
52	hammer	item
53	hammerhead	item
54	homerunbat	item
55	ripstick	item
56	ripstickflower	item
57	ripstickshot	item
58	starrod	item
59	starrodshot	item
60	club	item
61	clubshot	item
62	firebar	item
63	killsword	item
64	deathscythe	item
65	banana	item
66	bombhei	item
67	bumper	item
68	chewing	item
69	deku	item
70	doseisan	item
71	freezer	item
72	greenshell	item
73	pasaran	item
74	pitfall	item
75	sensorbomb	item
76	smartbomb	item
77	smokescreen	item
78	crossbomb	item
79	dolphinbomb	item
80	boomerang	item
81	honeycomb	item
82	honeycombbee	item
83	killereye	item
84	killereyeshot	item
85	bombchu	item
86	togezoshell	item
87	bossgalaga	item
88	beetle	item
89	powblock	item
90	starring	item
91	blackball	item
92	magicball	item
93	soccerball	item
94	unira	item
95	badge	item
96	screw	item
97	usagihat	item
98	superleaf	item
99	superleaftail	item
100	backshield	item
101	rocketbelt	item
102	machstamp	item
103	powderbox	item
104	smashball	item
105	dragoon	item
106	dragoonset	item
107	dragoonsight	item
108	killer	item
109	killertransform	item
110	genesis	item
111	genesisset	item
112	chicken	item
113	chickenparty	item
114	specialflag	item
115	smashbomb	item
116	bomber	item
117	smashballheavy	item
118	smashbombheavy	item
119	diddypeanuts	item
120	linkbomb	item
121	peachdaikon	item
122	robotgyro	item
123	toonlinkbomb	item
124	wariobike	item
125	wariobikea	item
126	wariobikeb	item
127	wariobikec	item
128	wariobiked	item
129	wariobikee	item
130	explosionbomb	item
131	book	item
132	thundersword	item
133	pacmancherry	item
134	pacmanstrawberry	item
135	pacmanorange	item
136	pacmanapple	item
