kind	offset	type	field	parent	default
0	0x00b0	f32	dummy	param_private	0
0	0x00e8	u32	shape_type	map_collision_fireball	
0	0x00ec	f32	center_y	map_collision_fireball	0
0	0x00f0	f32	radius	map_collision_fireball	1
0	0x0188	u32	shape_type	map_collision_pumpwater	
0	0x018c	f32	up	map_collision_pumpwater	2
0	0x0190	f32	down	map_collision_pumpwater	-2
0	0x0194	f32	half_width	map_collision_pumpwater	2
1	0x00b0	f32	walk_accel_mul_mul	param_lifting_walk	1.10000002
1	0x00b4	f32	walk_accel_add_mul	param_lifting_walk	
1	0x00b8	f32	walk_speed_max_mul	param_lifting_walk	
1	0x0138	f32	final_fix_pos_offset_x	param_private	45
1	0x013c	f32	final_fix_pos_offset_y	param_private	5
1	0x0140	f32	final_wall_leave_speed	param_private	0
1	0x0144	f32	final_hit_space	param_private	7
1	0x0148	f32	final_target_move_frame	param_private	12
1	0x014c	i32	unk_10bb3928c1	param_private	13
2	0x00e0	u32	shape_type	map_collision_swordbeam	
2	0x00e4	f32	up	map_collision_swordbeam	1
2	0x00e8	f32	down	map_collision_swordbeam	-1
2	0x00ec	f32	half_width	map_collision_swordbeam	5
2	0x0138	u32	shape_type	map_collision_bowarrow	
2	0x013c	f32	up	map_collision_bowarrow	0.100000001
2	0x0140	f32	down	map_collision_bowarrow	-0.100000001
2	0x0144	f32	half_width	map_collision_bowarrow	
2	0x01c0	f32	final_catch_size	param_private	7
2	0x01c4	f32	final_chatch_dist	param_private	150
2	0x01c8	f32	linkbomb_bound_speed_x_mul	param_private	
2	0x01cc	f32	final_dash_speed	param_private	10
2	0x01d0	i32	final_finale_end_frame	param_private	15
2	0x01d4	f32	final_raise_speed	param_private	0.0500000007
2	0x01d8	f32	air_lw_blank_time	param_private	30
2	0x01dc	i32	air_lw_max_hit	param_private	2
2	0x01e0	f32	wait_shield_scale_x	param_private	3.54999995
2	0x01e4	f32	wait_shield_scale_y	param_private	4
2	0x01e8	f32	wait_shield_scale_z	param_private	1
2	0x01ec	f32	unk_1affc51cec	param_private	1.13
2	0x01f0	f32	shield_guard_degree	param_private	90
2	0x0210	u32	shape_type	map_collision_ancientbowarrow	
2	0x0214	f32	up	map_collision_ancientbowarrow	
2	0x0218	f32	down	map_collision_ancientbowarrow	
2	0x021c	f32	half_width	map_collision_ancientbowarrow	
3	0x0158	u32	shape_type	map_collision_cshot	
3	0x015c	f32	up	map_collision_cshot	2
3	0x0160	f32	down	map_collision_cshot	-2
3	0x0164	f32	half_width	map_collision_cshot	2
3	0x01b0	u32	shape_type	map_collision_missile	
3	0x01b4	f32	up	map_collision_missile	2.4000001
3	0x01b8	f32	down	map_collision_missile	-2.4000001
3	0x01bc	f32	half_width	map_collision_missile	
3	0x01c0	u32	shape_type	map_collision_supermissile	
3	0x01c4	f32	up	map_collision_supermissile	
3	0x01c8	f32	down	map_collision_supermissile	
3	0x01cc	f32	half_width	map_collision_supermissile	
3	0x0218	u32	shape_type	map_collision_bomb	
3	0x021c	f32	up	map_collision_bomb	2.5
3	0x0220	f32	down	map_collision_bomb	-2.5
3	0x0224	f32	half_width	map_collision_bomb	2.5
3	0x0228	f32	final_a_vy0	param_private	0.5
3	0x022c	f32	final_a_ay	param_private	0.00999999978
3	0x0230	f32	final_a_vy_max	param_private	0.159999996
3	0x0234	f32	final_laser_ang_spd	param_private	0.129999995
3	0x0238	f32	final_laser_ang_max	param_private	10
3	0x023c	f32	final_laser_spd	param_private	
3	0x0240	i32	final_laser_time	param_private	150
3	0x0244	f32	final_laser_initial_distance	param_private	450
3	0x0248	f32	final_laser_max_distance	param_private	
3	0x024c	i32	final_ground_effect_interval_frame	param_private	20
3	0x0250	f32	final_ground_effect_margin_length	param_private	3
3	0x0254	f32	final_ground_effect_max_distance	param_private	30
3	0x0258	f32	final_ground_effect_offset_y	param_private	1.5
3	0x0260	hash40	gbeam_map_coll_joint	param_private	0
3	0x0268	f32	gbeam_map_coll_offset_x	param_private	5
3	0x026c	f32	gbeam_map_coll_offset_y	param_private	0
3	0x0270	f32	gbeam_map_coll_offset_z	param_private	0
3	0x02a8	u32	shape_type	map_collision_laser	
3	0x02ac	f32	up	map_collision_laser	2
3	0x02b0	f32	down	map_collision_laser	-2
3	0x02b4	f32	half_width	map_collision_laser	2
3	0x02b8	u32	shape_type	map_collision_laser2	
3	0x02bc	f32	up	map_collision_laser2	2
3	0x02c0	f32	down	map_collision_laser2	-2
3	0x02c4	f32	half_width	map_collision_laser2	2
4	0x0158	u32	shape_type	map_collision_cshot	
4	0x015c	f32	up	map_collision_cshot	2
4	0x0160	f32	down	map_collision_cshot	-2
4	0x0164	f32	half_width	map_collision_cshot	2
