kind	const	owner
0	miifighter_hat	miifighter
1	miifighter_ironball	miifighter
2	miiswordsman_hat	miiswordsman
3	miiswordsman_lightshuriken	miiswordsman
4	miiswordsman_chakram	miiswordsman
5	miiswordsman_tornadoshot	miiswordsman
6	miiswordsman_wave	miiswordsman
7	miigunner_hat	miigunner
8	miigunner_rapidshot_bullet	miigunner
9	miigunner_gunnercharge	miigunner
10	miigunner_miimissile	miigunner
11	miigunner_supermissile	miigunner
12	miigunner_grenadelauncher	miigunner
13	miigunner_flamepillar	miigunner
14	miigunner_stealthbomb	miigunner
15	miigunner_stealthbomb_s	miigunner
16	miigunner_bottomshoot	miigunner
17	miigunner_groundbomb	miigunner
18	miigunner_attackairf_bullet	miigunner
19	miigunner_laser	miigunner
20	miigunner_fullthrottle	miigunner
21	mario_fireball	mario
22	mario_mantle	mario
23	mario_pump	mario
24	mario_pump_water	mario
25	mario_huge_flame	mario
26	mario_dokan	mario
27	mario_cappy	mario
28	donkey_dkbarrel	donkey
29	link_boomerang	link
30	link_bow	link
31	link_bowarrow	link
32	link_navy	link
33	link_sword_beam	link
34	link_ancient_bow	link
35	link_ancient_bowarrow	link
36	link_parasail	link
37	samus_cshot	samus
38	samus_bomb	samus
39	samus_missile	samus
40	samus_laser	samus
41	samus_laser2	samus
42	samus_gun	samus
43	samus_supermissile	samus
44	samus_transportation	samus
45	samus_gbeam	samus
46	samusd_cshot	samusd
47	samusd_bomb	samusd
48	samusd_missile	samusd
49	samusd_laser	samusd
50	samusd_laser2	samusd
51	samusd_gun	samusd
52	samusd_supermissile	samusd
53	samusd_transportation	samusd
54	samusd_gbeam	samusd
55	samusd_bunshin	samusd
56	yoshi_star	yoshi
57	yoshi_tamago	yoshi
58	yoshi_yoshimob	yoshi
59	yoshi_yoshibg01	yoshi
60	kirby_hammer	kirby
61	kirby_finalcuttershot	kirby
62	kirby_starmissile	kirby
63	kirby_hat	kirby
64	kirby_ultrasword	kirby
65	kirby_ultraswordhat	kirby
66	kirby_warpstar	kirby
67	kirby_reserve	kirby
68	kirby_simple	kirby
69	kirby_miipartshead	kirby
70	kirby_rosettaticomissile	kirby
71	kirby_stone	kirby
72	kirby_simple2r	kirby
73	kirby_simple2l	kirby
74	kirby_windummy	kirby
75	kirby_finalcutter	kirby
