# Camera animations each vanilla fighter owns, from data.arc 13.0.4.
# camera/fighter/<name>/cNN/ - identical across all 8 costumes.
# A clone that routes path type 39 serves these from ITS OWN directory;
# anything it does not ship falls back to the base fighter per animation
# (camera_animation_base_fallback). See CAMERA_UNSHARE.md.
#
# fighter	count	animations (comma-separated)
bayonetta	5	d04final.nuanmb,d04finalvisualscene01.nuanmb,j02win1.nuanmb,j02win2.nuanmb,j02win3.nuanmb
brave	5	d04finalstart.nuanmb,d04visualscene01.nuanmb,j02win1.nuanmb,j02win2.nuanmb,j02win3.nuanmb
buddy	8	d04final.nuanmb,d04visualscene01.nuanmb,d04visualscene02.nuanmb,d04visualscene03.nuanmb,d04visualscene04.nuanmb,j02win1.nuanmb,j02win2.nuanmb,j02win3.nuanmb
captain	10	d04finalairstart.nuanmb,d04finalairstart02.nuanmb,d04finalstart.nuanmb,d04finalstart02.nuanmb,d04visualscene01.nuanmb,d04visualscene02.nuanmb,d04visualscene03.nuanmb,j02win1.nuanmb,j02win2.nuanmb,j02win3.nuanmb
chrom	5	d04finalattack.nuanmb,d04finalstart.nuanmb,j02win1.nuanmb,j02win2.nuanmb,j02win3.nuanmb
cloud	9	d04finalattack.nuanmb,d04finalattack_far.nuanmb,d04finalattackl.nuanmb,d04finalattackl_far.nuanmb,d04finalstart.nuanmb,d04finalstart02.nuanmb,j02win1.nuanmb,j02win2.nuanmb,j02win3.nuanmb
daisy	4	d04final.nuanmb,j02win1.nuanmb,j02win2.nuanmb,j02win3.nuanmb
dedede	8	d04finalstart.nuanmb,d04finalvisualscene.nuanmb,d04finalvisualscene01.nuanmb,d04finalvisualscene02.nuanmb,d04finalvisualscene03.nuanmb,j02win1.nuanmb,j02win2.nuanmb,j02win3.nuanmb
demon	11	d03speciallwcatch.nuanmb,d04finalstart.nuanmb,d04visualscene01.nuanmb,e01throwb.nuanmb,e01throwcommand.nuanmb,e01throwf.nuanmb,e01throwhi.nuanmb,e01throwlw.nuanmb,j02win1.nuanmb,j02win2.nuanmb,j02win3.nuanmb
diddy	4	d04finalstart.nuanmb,j02win1.nuanmb,j02win2.nuanmb,j02win3.nuanmb
dolly	9	d04finalstart.nuanmb,d04visualscene01.nuanmb,d04visualscene02.nuanmb,d04visualscene03.nuanmb,d04visualscene04.nuanmb,d04visualscene05.nuanmb,j02win1.nuanmb,j02win2.nuanmb,j02win3.nuanmb
donkey	4	d04finalstart.nuanmb,j02win1.nuanmb,j02win2.nuanmb,j02win3.nuanmb
duckhunt	5	d04finalstart.nuanmb,d04finalvisualscene01.nuanmb,j02win1.nuanmb,j02win2.nuanmb,j02win3.nuanmb
edge	5	d04finalstart.nuanmb,d04visualscene01.nuanmb,j02win1.nuanmb,j02win2.nuanmb,j02win3.nuanmb
eflame	6	d04finalstart.nuanmb,d04visualscene01.nuanmb,d04visualscene02.nuanmb,j02win1.nuanmb,j02win2.nuanmb,j02win3.nuanmb
elight	8	d04finalstart.nuanmb,d04visualscene01.nuanmb,d04visualscene02.nuanmb,d04visualscene03.nuanmb,d04visualscene04.nuanmb,j02win1.nuanmb,j02win2.nuanmb,j02win3.nuanmb
falco	6	d04finallockon.nuanmb,d04finallockon02.nuanmb,d04finalvisualscene.nuanmb,j02win1.nuanmb,j02win2.nuanmb,j02win3.nuanmb
fox	5	d04finallockon.nuanmb,d04finalvisualscene.nuanmb,j02win1.nuanmb,j02win2.nuanmb,j02win3.nuanmb
gamewatch	4	d04finalairstart.nuanmb,j02win1.nuanmb,j02win2.nuanmb,j02win3.nuanmb
ganon	4	d04finalstart.nuanmb,j02win1.nuanmb,j02win2.nuanmb,j02win3.nuanmb
gaogaen	7	d04finalstart.nuanmb,d04visualscene01.nuanmb,d04visualscene02.nuanmb,d04visualscene03.nuanmb,j02win1.nuanmb,j02win2.nuanmb,j02win3.nuanmb
gekkouga	4	d04finalchange.nuanmb,j02win1.nuanmb,j02win2.nuanmb,j02win3.nuanmb
ike	4	d04finalstart.nuanmb,j02win1.nuanmb,j02win2.nuanmb,j02win3.nuanmb
inkling	5	d04final.nuanmb,d04finalair.nuanmb,j02win1.nuanmb,j02win2.nuanmb,j02win3.nuanmb
jack	10	d04finalstart.nuanmb,d04finalstart02.nuanmb,d04finalvisualscene.nuanmb,d04finalvisualscene02.nuanmb,j02win1.nuanmb,j02win1loop.nuanmb,j02win2.nuanmb,j02win2loop.nuanmb,j02win3.nuanmb,j02win3loop.nuanmb
