offset	type	field	source
0x0058	u32	precede	common
0x005c	u32	precede_extension	common
0x0060	f32	clatter_cont_value	common
0x0064	f32	bitten_motion_rate_frame	common
0x0068	f32	bitten_motion_rate	common
0x006c	f32	stick_button_threshold	common
0x0070	u32	stick_button_repeat_wait_frame	common
0x0074	u32	stick_button_repeat_cycle_frame	common
0x0078	u32	stick_button_repeat_wait_frame_for_1_5	common
0x007c	u32	stick_button_repeat_cycle_frame_for_1_5	common
0x0080	u32	stick_button_repeat_wait_frame_for_0_66	common
0x0084	u32	stick_button_repeat_cycle_frame_for_0_66	common
0x0088	u32	stick_button_repeat_wait_min_frame	common
0x008c	u32	stick_button_repeat_cycle_min_frame	common
0x0090	u32	stick_button_flick_frame	common
0x0094	f32	walk_stick_x	common
0x0098	f32	ground_speed_limit	common
0x009c	f32	stop_over_speed_brake_mul	common
0x00a0	f32	turn_stick_x	common
0x00a4	f32	turn_frame	common
0x00a8	f32	turn_speed_mul	common
0x00ac	f32	walk_motion_rate_max	common
0x00b0	f32	walk_brake_motion_rate	common
0x00b4	f32	walk_slow_motion_rate_mul	common
0x00b8	f32	walk_middle_fast_blend_weight_rate	common
0x00bc	f32	walk_fast_middle_blend_weight_rate	common
0x00c0	u32	dash_flick_x	common
0x00c4	f32	dash_stick_x	common
0x00c8	f32	dash_s4_frame	common
0x00cc	u32	dash_speed_keep_frame	common
0x00d0	f32	dash_escape_frame	common
0x00d4	u32	turn_dash_frame	common
0x00d8	u32	re_dash_frame	common
0x00dc	f32	dash_end_speed_mul	common
0x00e0	f32	run_stick_x	common
0x00e4	f32	run_motion_rate_max	common
0x00e8	f32	turn_run_stick_x	common
0x00ec	u32	turn_run_frame	common
0x00f0	u32	run_turn_cancel_start_frame	common
0x00f4	u32	run_turn_cancel_enable_frame	common
0x00f8	u32	turn_run_back_cancel_enable_frame	common
0x00fc	f32	turn_run_stop_brake_mul	common
0x0100	f32	run_brake_brake_mul	common
0x0104	u32	run_brake_attack_dash_frame	common
0x0108	f32	run_brake_stop_shake_speed	common
0x010c	f32	run_brake_stop_shake_scale	common
0x0110	f32	run_speed_ratio_min	common
0x0114	u32	unk_27173b8eb0	common
0x0118	u32	retry_turn_dash_frame	common
0x011c	u32	dash_enable_attack_frame	common
0x0120	f32	unk_206138766c	common
0x0124	f32	turn_run_back_brake	common
0x0128	f32	squat_stick_y	common
0x012c	f32	squat_damage_reaction_mul	common
0x0130	f32	squat_f_stick_x_min	common
0x0134	f32	squat_f_stick_x_max	common
0x0138	u32	jump_flick_y	common
0x013c	f32	jump_stick_y	common
0x0140	u32	jump_initial_frame	common
0x0144	f32	jump_neutral_y	common
0x0148	f32	jump_neutral_x	common
