offset	type	field
0x0000	hash40	fighter_kind
0x0008	f32	escape_n_hit_xlu_frame
0x000c	f32	escape_n_hit_normal_frame
0x0010	f32	escape_n_penalty_hit_xlu_frame
0x0014	f32	escape_n_penalty_hit_normal_frame
0x0018	f32	escape_attack_frame
0x001c	f32	escape_n_cancel_frame
0x0020	f32	escape_f_hit_xlu_frame
0x0024	f32	escape_f_hit_normal_frame
0x0028	f32	escape_f_penalty_hit_xlu_frame
0x002c	f32	escape_f_penalty_hit_normal_frame
0x0030	f32	escape_f_cancel_frame
0x0034	f32	escape_b_hit_xlu_frame
0x0038	f32	escape_b_hit_normal_frame
0x003c	f32	escape_b_penalty_hit_xlu_frame
0x0040	f32	escape_b_penalty_hit_normal_frame
0x0044	f32	escape_b_cancel_frame
0x0048	f32	escape_air_hit_xlu_frame
0x004c	f32	escape_air_hit_normal_frame
0x0050	f32	escape_air_penalty_hit_xlu_frame
0x0054	f32	escape_air_penalty_hit_normal_frame
0x0058	f32	escape_air_stiff_frame
0x005c	f32	escape_air_stiff_start_frame
0x0060	f32	escape_air_cancel_frame
0x0064	f32	escape_air_slide_hit_xlu_frame
0x0068	f32	escape_air_slide_hit_normal_frame
0x006c	f32	escape_air_slide_penalty_hit_xlu_frame
0x0070	f32	escape_air_slide_penalty_hit_normal_frame
0x0074	f32	escape_air_slide_back_distance
0x0078	u32	escape_air_slide_back_end_frame
0x007c	f32	escape_air_slide_speed
0x0080	f32	escape_air_slide_distance
0x0084	f32	escape_air_slide_penalty_speed
0x0088	f32	escape_air_slide_penalty_distance
0x008c	f32	escape_air_slide_end_speed
0x0090	f32	escape_air_slide_stiff_start_frame
0x0094	f32	escape_air_slide_cancel_frame
0x0098	f32	landing_frame_escape_air_slide_max
0x009c	f32	landing_frame_escape_air_slide
0x00a0	f32	landing_speed_mul_escape_air_slide
0x00a4	bool	flip
0x00a8	f32	wait_f_diff
0x00ac	f32	wait_b_diff
0x00b0	bool	walk_middle_fast_blend
0x00b4	f32	walk_slow_left_start_frame
0x00b8	f32	walk_slow_left_end_frame
0x00bc	f32	walk_middle_left_start_frame
0x00c0	f32	walk_middle_left_end_frame
0x00c4	f32	walk_fast_left_start_frame
0x00c8	f32	walk_fast_left_end_frame
0x00cc	f32	dash_run_start_frame
0x00d0	f32	turndash_run_start_frame
0x00d4	f32	run_left_start_frame
0x00d8	f32	run_left_end_frame
0x00dc	f32	run_left_start_frame2
0x00e0	f32	run_left_end_frame2
0x00e4	f32	shake_data_brake_scale
0x00e8	f32	item_lift_mid_start_frame
0x00ec	f32	item_lift_mid_frame
0x00f0	f32	item_lift_mid_end_frame
0x00f4	u32	catch_ik
0x00f8	f32	catch_attack_distance
0x00fc	f32	butterflynet_capture_scale
0x0100	hash40	butterflynet_capture_scale_node_0
0x0108	hash40	butterflynet_capture_scale_node_1
0x0110	hash40	butterflynet_capture_scale_node_2
0x0118	f32	butterflynet_capture_offset_x
0x011c	f32	butterflynet_capture_offset_y
0x0120	f32	rockman_capture_offset_x
0x0124	f32	rockman_capture_offset_y
0x0128	f32	snake_capture_offset_x
0x012c	f32	snake_capture_offset_y
0x0130	f32	wiifit_capture_offset_x
0x0134	f32	wiifit_capture_offset_y
0x0138	hash40	wiifit_capture_motion_kind
0x0140	f32	pfushigisou_capture_offset_x
0x0144	f32	pfushigisou_capture_offset_y
0x0148	f32	pikmin_catch_offset_x_l
0x014c	f32	pikmin_catch_offset_z_l
0x0150	f32	pikmin_catch_rot_y_l
0x0154	f32	pikmin_catch_offset_x_r
0x0158	f32	pikmin_catch_offset_z_r
0x015c	f32	pikmin_catch_rot_y_r
0x0160	f32	captain_special_hi_offset_x
0x0164	f32	captain_special_hi_offset_y
0x0168	f32	ganon_special_hi_offset_x
0x016c	f32	ganon_special_hi_offset_y
0x0170	f32	ganon_special_hi_clung_offset_y
0x0174	f32	ganon_special_s_offset_x
0x0178	f32	ganon_special_s_offset_y
0x017c	f32	ganon_special_air_s_offset_x
0x0180	f32	ganon_special_air_s_offset_y
0x0184	f32	gaogaen_rope_offset_x
0x0188	f32	gaogaen_rope_offset_y
0x018c	f32	ryu_final_damage01_offset_x
0x0190	f32	ryu_final_damage01_offset_y
0x0194	f32	ryu_final_damage01_offset_z
0x0198	f32	ryu_final_damage02_offset_x
0x019c	f32	ryu_final_damage02_offset_y
0x01a0	f32	ryu_final_damage02_offset_z
0x01a4	f32	ryu_final_damage03_offset_x
0x01a8	f32	ryu_final_damage03_offset_y
0x01ac	f32	ryu_final_damage03_offset_z
0x01b0	u32	pickel_thrown_kind_f
0x01b4	f32	pickel_thrown_f_rot_angle_x
0x01b8	u32	pickel_thrown_kind_b
0x01bc	f32	pickel_thrown_b_rot_angle_x
0x01c0	u32	pickel_thrown_kind_hi
0x01c4	f32	pickel_thrown_hi_rot_angle_x
0x01c8	u32	pickel_thrown_kind_lw
0x01cc	f32	pickel_thrown_lw_rot_angle_x
0x01d0	f32	unk_2617328818
0x01d4	f32	unk_1ff564dd00
0x01d8	f32	cloud_final_target_damage_offset_x
0x01dc	f32	cloud_final_target_damage_offset_y
0x01e0	bool	damage_fly_meteor_reverse_motion
0x01e1	bool	just_shield_motion
0x01e4	f32	unk_21ee5e6465
0x01e8	f32	stop_ceil_speed_y_threshold
0x01ec	bool	ground_correct_air_trans_jump
0x01ed	bool	ground_correct_air_trans_jump_aerial
0x01ee	bool	ground_correct_air_trans_fall
0x01ef	bool	unk_168bc3f0db
0x01f0	hash40	cliff_hang_node
0x01f8	f32	cliff_hang_check_length
