offset	type	field
0x0000	hash40	fighter_kind
0x0008	f32	walk_accel_mul
0x000c	f32	walk_accel_add
0x0010	f32	walk_speed_max
0x0014	f32	walk_slow_speed_mul
0x0018	f32	walk_middle_ratio
0x001c	f32	walk_fast_ratio
0x0020	f32	ground_brake
0x0024	f32	dash_speed
0x0028	f32	run_accel_mul
0x002c	f32	run_accel_add
0x0030	f32	run_speed_max
0x0034	u32	jump_squat_frame
0x0038	f32	jump_speed_x
0x003c	f32	jump_speed_x_mul
0x0040	f32	jump_speed_x_max
0x0044	f32	jump_aerial_speed_x_mul
0x0048	f32	jump_initial_y
0x004c	f32	jump_y
0x0050	f32	mini_jump_y
0x0054	f32	jump_aerial_y
0x0058	f32	air_accel_x_mul
0x005c	f32	air_accel_x_add
0x0060	f32	air_speed_x_stable
0x0064	f32	air_brake_x
0x0068	f32	air_accel_y
0x006c	f32	air_speed_y_stable
0x0070	f32	damage_fly_top_air_accel_y
0x0074	f32	damage_fly_top_speed_y_stable
0x0078	f32	air_brake_y
0x007c	f32	dive_speed_y
0x0080	f32	weight
0x0084	f32	air_ground_speed_brake
0x0088	f32	landing_attack_air_frame_n
0x008c	f32	landing_attack_air_frame_f
0x0090	f32	landing_attack_air_frame_b
0x0094	f32	landing_attack_air_frame_hi
0x0098	f32	landing_attack_air_frame_lw
0x009c	f32	landing_frame_light
0x00a0	f32	landing_frame
0x00a4	u32	landing_heavy_frame
0x00a8	f32	scale
0x00ac	f32	shield_radius
0x00b0	f32	shield_break_y
0x00b4	f32	guard_speed_limit
0x00b8	f32	jostle_front
0x00bc	f32	jostle_back
0x00c0	f32	jostle_weight
0x00c4	f32	cliff_jump_x_speed
0x00c8	f32	cliff_jump_y
0x00cc	u32	attack_combo_max
0x00d0	u32	s3_combo_max
0x00d4	u32	s4_combo_max
0x00d8	f32	combo_attack_12_end
0x00dc	f32	combo_attack_13_end
0x00e0	f32	combo_attack_32_end
0x00e4	f32	combo_attack_33_end
0x00e8	f32	combo_attack_42_end
0x00ec	bool	attack100_type
0x00f0	u32	attack_100_enable_cnt
0x00f4	f32	attack_100_rebound_distance
0x00f8	u32	attack_100_rebound_count
0x00fc	f32	attack_lw3_rebound_distance
0x0100	u32	attack_lw3_rebound_count
0x0104	f32	attack_s4_smash_hold_attack_up
0x0108	u32	attack_s4_hold_frame
0x010c	u32	attack_s4_hold_keep_frame
0x0110	f32	attack_hi4_smash_hold_attack_up
0x0114	u32	attack_hi4_hold_frame
0x0118	u32	attack_hi4_hold_keep_frame
0x011c	f32	attack_lw4_smash_hold_attack_up
0x0120	u32	attack_lw4_hold_frame
0x0124	u32	attack_lw4_hold_keep_frame
0x0128	f32	attack_4_hold_scale
0x012c	u32	jump_count_max
0x0130	bool	squat_walk_type
0x0131	bool	wall_jump_type
0x0132	bool	attach_wall_type
0x0134	f32	attach_wall_ignore_cliff_dist
0x0138	bool	air_lasso_type
0x0139	bool	unk_2ea659cf56
0x013c	f32	unk_271984ee09
0x0140	f32	unk_2bf4bef265
0x0144	f32	tread_jump_speed_y_mul
0x0148	f32	tread_mini_jump_speed_y_mul
0x014c	u32	tread_fall_recovery_frame
0x0150	f32	tread_range_offset_y
0x0154	f32	tread_range_w
0x0158	f32	tread_range_h
0x015c	f32	tread_range_add_w
