hash	value	label
0x0616e7e3de	0x1	size_s
0x069befee2b	0x3	size_l
0x06ece8debd	0x2	size_m
0x073a21d450	0x4	size_ll
0x1049ec706d	0x3	item_hit_kind_lr
0x1111476d89	0x2	item_hit_kind_fly
0x126341f3d1	0x4	
0x127f1802ea	0x1	item_hit_kind_stop
0x12c2a4c7b0	0x4	item_slope_type_up
0x12d49afcc4	0x1	item_have_kind_get
0x131e5b3c07	0x3	item_have_kind_have
0x131fa9a8a7	0x2	
0x13692a31ca	0x7	
0x13a51fb408	0x400000	
0x13aad5b49f	0x1d	item_bound_flag_all
0x13f8dfdb0d	0x5	item_have_kind_grip
0x14014c72ec	0x10000	
0x140444ae85	0x2	item_flip_type_z_rot
0x142c47299f	0x8	
0x1443e4d455	0x1	item_flip_type_y_rot
0x14557b220c	0x4000	
0x1479209537	0x3	item_shield_kind_hop
0x147e84fde5	0x3	item_flip_type_x_rot
0x14826a4627	0x1	item_size_kind_large
0x14892731a4	0x2	
0x148bb6028f	0x4	
0x1499ea26be	0x6	item_have_kind_plate
0x14bfbd6dc1	0x1000	item_trait_flag_boss
0x14ee3113a1	0x2	
0x14f57143a0	0x100	
0x1514ba28a2	0x1	
0x152576c3ee	0x2	item_have_kind_motion
0x155aaa9421	0x2	item_trait_flag_shoot
0x15612c4ccb	0x3	
0x15657d29a8	0x8	item_trait_flag_throw
0x1566b5784a	0x2	
0x1566d2cb42	0x10	item_bound_flag_throw
0x157cab7881	0x5	
0x1591165bfb	0x4	item_have_kind_pickup
0x1597045c5b	0x1	
0x1599e11ba6	0x1	item_shield_kind_lost
0x159d47a4ae	0x2	item_shield_kind_born
0x15a7297648	0x20	item_trait_flag_quick
0x15cbf8dfc5	0x4	item_trait_flag_swing
0x15d89dab2f	0x40	item_trait_flag_equip
0x15dc58456d	0x10	item_trait_flag_touch
0x15de576854	0x2	item_murabito_gen_use
0x1609a9c75b	0x8000	item_trait_flag_weapon
0x165c218aec	0x3	
0x165f3c0111	0x1	item_murabito_gen_have
0x1687b94751	0xd	item_bound_flag_ground
0x16a2647e71	0x1	item_flash_kind_normal
0x16aa20a9de	0x5	item_murabito_gen_hand
0x16bdcd56c3	0x2	item_reflect_kind_born
0x16c174e733	0x400	item_trait_flag_assist
0x173391b450	0x4	item_shield_kind_no_hop
0x174038a41c	0x80	
0x176ca5df37	0x3	item_murabito_gen_shoot
0x1791263d5e	0x6	item_murabito_gen_quick
0x17a7d7bde4	0x2	item_camera_kind_center
0x17aa52c6d9	0x8	
0x17af4374dc	0x1	item_scale_type_fighter
0x17c6a23e24	0x1	item_camera_kind_normal
0x17cfb896ad	0x2000	
0x17d76cc5a2	0x800	item_trait_flag_pokemon
0x17ee92e039	0x4	item_murabito_gen_equip
0x17f289a44d	0x1	item_trait_flag_carrier
0x17f9db6ab2	0x200	item_trait_flag_special
0x181959f14f	0x1	item_jostle_priority_low
0x187f478986	0x20000	
0x18b50d8cd3	0x40000	item_trait_flag_no_throw
0x18c2acac05	0x5	
0x190c54dd5f	0x1	item_hit_effect_kind_full
0x19a7c54b51	0x200000	
0x19ac41db32	0x3	item_slope_type_keepangle
0x19b63cfaa3	0x3	item_jostle_priority_high
0x19c11c35d3	0x7	
0x19cb147782	0x1	item_reflect_kind_reflect
0x19f96aca14	0x6	item_slope_type_up_smooth
0x1a573b6e14	0x100000	
0x1a7910e265	0x4020	item_trait_flag_quick_food
0x1a7ad4f0c8	0x1	item_dead_area_kind_remove
0x1aa368e81e	0x108	item_trait_flag_ball_throw
0x1b266926ae	0x2	item_jostle_priority_middle
0x1bd2fda5f4	0x1	item_cursor_display_type_on
0x1be3465ab7	0x9000	item_trait_flag_boss_weapon
0x1c1c6dd8f9	0x5	item_slope_type_slant_smooth
0x1c7dfb46ab	0x1	item_have_offset_m2_y180_rot
0x1cbea4b936	0x2100	item_trait_flag_fighter_ball
0x1d49bc11eb	0x808	item_trait_flag_pokemon_throw
0x1d4e232cc5	0x3	
0x1d7c5aca23	0x2008	item_trait_flag_fighter_throw
0x1da712daab	0x1	item_pikmin_attach_kind_trans
0x1db3495473	0xa0	item_trait_flag_recover_quick
0x1dc0691bfc	0x8400	item_trait_flag_assist_weapon
0x1dc83f591e	0x220	item_trait_flag_special_quick
0x1dd5dbd340	0x9	item_trait_flag_carrier_throw
0x1df6927635	0x9	item_trait_flag_throw_carrier
0x1e0c30c75a	0x2	item_pikmin_attach_kind_matrix
0x1e25ca4527	0x3	item_dead_area_kind_remove_all
0x1ee6501649	0x8800	item_trait_flag_pokemon_weapon
0x1f09985556	0x2	item_attack_hitstop_kind_parent
0x1f15935dfd	0x1	item_attack_hitstop_kind_normal
0x1f7d5b29bc	0x80000	
0x1ff056dd51	0x4	item_dead_area_kind_remove_clip
0x2053e812b7	0x2	item_slope_type_slant_keep_y_rot
0x20ef3dffc4	0x2	item_hit_effect_kind_effect_only
0x21a51c3014	0x9008	item_trait_flag_boss_weapon_throw
0x221006b533	0x2	
0x22679b9034	0x3	item_hit_effect_kind_flashing_only
0x22c3a31032	0x40a0	item_trait_flag_recover_quick_food
0x242ceef492	0x3	item_pikmin_attach_kind_trans_no_rot
0x2acf176be8	0x60a0	item_trait_flag_fighter_recover_quick_food
