table_base	stride	offset	type	field	hash
0x3908	0x284	0x0	float	scale	0x05ec462584
0x3908	0x284	0x4	float	hitsize	0x07d0183e17
0x3908	0x284	0x8	float	hp	0x02bcf8826c
0x3908	0x284	0xc	float	shadow_size	0x0bd6d05825
0x3908	0x284	0x10	float	cursor_offset_y	0x0f35d3204c
0x3908	0x284	0x14	float	appearing_effect_scale	0x162837a75c
0x3908	0x284	0x18	float	lost_effect_scale	0x1101c386f4
0x3908	0x284	0x1c	float	rot_appear_mul	0x0e01fc4473
0x3908	0x284	0x20	float	carrier_y_speed	0x0f84b3df07
0x3908	0x284	0x24	float	throw_speed_mul	0x0fb64928d5
0x3908	0x284	0x28	float	rot_coef_x	0x0ad936e0cc
0x3908	0x284	0x2c	float	rot_coef_y	0x0aae31d05a
0x3908	0x284	0x30	float	rot_coef_z	0x0a373881e0
0x3908	0x284	0x34	float	throw_power_speed_add	0x158ac80a24
0x3908	0x284	0x38	float	throw_power_speed_mul	0x15ded05862
0x3908	0x284	0x3c	float	gravity_accel	0x0d19a47f7f
0x3908	0x284	0x40	float	gravity_accel_max	0x1112ec75f9
0x3908	0x284	0x44	float	air_brake_x	0x0bba2bb330
0x3908	0x284	0x48	float	ground_brake_x	0x0e4a40f38f
0x3908	0x284	0x4c	float	outer_limit_speed_x	0x13458acc51
0x3908	0x284	0x50	float	outer_limit_speed_y	0x13328dfcc7
0x3908	0x284	0x54	float	stop_limit_speed_x	0x1282c371b9
0x3908	0x284	0x58	float	stop_limit_speed_y	0x12f5c4412f
0x3908	0x284	0x5c	float	rot_speed	0x091d6c0a1b
0x3908	0x284	0x60	float	rot_brake	0x090468c966
0x3908	0x284	0x64	float	rot_limit_speed_x	0x112291d408
0x3908	0x284	0x68	float	rot_limit_speed_y	0x115596e49e
0x3908	0x284	0x6c	float	bound_refspeed_mul_x	0x14b7a81a32
0x3908	0x284	0x70	float	bound_refspeed_mul_y	0x14c0af2aa4
0x3908	0x284	0x74	float	bound_minspeed	0x0ef01d87c2
0x3908	0x284	0x78	float	bound_refspeed_wall_mul_x	0x1903797e39
0x3908	0x284	0x7c	float	bound_refspeed_wall_mul_y	0x19747e4eaf
0x3908	0x284	0x80	float	bound_refspeed_wall_add_y	0x195738c2ec
0x3908	0x284	0x84	float	bound_refspeed_ceiling_mul_x	0x1ce0c13e2a
0x3908	0x284	0x88	float	bound_refspeed_ceiling_mul_y	0x1c97c60ebc
0x3908	0x284	0x8c	float	bound_refspeed_throw_mul	0x18ca379926
0x3908	0x284	0x90	float	bound_refspeed_throw_add_x	0x1a4b6f44da
0x3908	0x284	0x94	float	bound_refspeed_throw_add_y	0x1a3c68744c
0x3908	0x284	0x98	float	nururi_size_up	0x0ed014f06a
0x3908	0x284	0x9c	float	nururi_size_down	0x1056ddc403
0x3908	0x284	0xa0	float	nururi_size_left	0x103045b350
0x3908	0x284	0xa4	float	nururi_size_right	0x119c82efde
0x3908	0x284	0xa8	float	jostle_scale	0x0c43db32b7
0x3908	0x284	0xac	float	pickup_range_offx	0x1123d8e3f3
0x3908	0x284	0xb0	float	pickup_range_offy	0x1154dfd365
0x3908	0x284	0xb4	float	pickup_range_sizew	0x122fd72c8a
0x3908	0x284	0xb8	float	pickup_range_sizeh	0x12a2df217f
0x3908	0x284	0xbc	float	mapcoll_size_up	0x0f8be37388
0x3908	0x284	0xc0	float	mapcoll_size_down	0x114e24dc00
0x3908	0x284	0xc4	float	mapcoll_size_halfwidth	0x16cb1264c6
0x3908	0x284	0xc8	float	clip_sphere_r	0x0d96ee711c
0x3908	0x284	0xcc	float	clip_sphere_offy	0x106fbc3931
0x3908	0x284	0xd0	float	search_detect_add_speed_mul	0x1b47eb93d8
0x3908	0x284	0xd4	float	max_rot_x_by_tantan_stage	0x19b229e566
0x3908	0x284	0xd8	float	max_rot_y_by_tantan_stage	0x19358f2e25
0x3908	0x284	0xdc	float	max_rot_z_by_tantan_stage	0x19661575a1
0x3908	0x284	0xe0	float	hooked_offset_x	0x0f1985a45e
0x3908	0x284	0xe4	float	hooked_offset_y	0x0f6e8294c8
0x3908	0x284	0xe8	float	hooked_offset_z	0x0ff78bc572
0x3908	0x284	0xec	float	dedede_add_speed_y	0x124ccbf247
0x3908	0x284	0xf0	float	pikmin_offset1_x	0x1071b88b7b
0x3908	0x284	0xf4	float	pikmin_offset1_y	0x1006bfbbed
0x3908	0x284	0xf8	float	pikmin_offset1_z	0x109fb6ea57
0x3908	0x284	0xfc	float	pikmin_offset2_x	0x1073fe3522
0x3908	0x284	0x100	float	pikmin_offset2_y	0x1004f905b4
0x3908	0x284	0x104	float	pikmin_offset2_z	0x109df0540e
0x3908	0x284	0x108	float	captured_offset_x	0x110d670540
0x3908	0x284	0x10c	float	captured_offset_y	0x117a6035d6
0x3908	0x284	0x110	float	captured_motion_frame_start	0x1b857e0f71
0x3908	0x284	0x114	float	captured_motion_frame_loop	0x1a7cd19efa
0x3908	0x284	0x118	float	captured_motion_rate	0x14bc50979b
0x3908	0x284	0x11c	float	mario_thrown_b_motion_frame_start	0x2185f719ab
0x3908	0x284	0x120	float	mario_thrown_b_motion_frame_loop	0x20f5c744fa
0x3908	0x284	0x124	float	mario_thrown_b_motion_rate	0x1ac9576b0d
0x3908	0x284	0x128	float	captured_offset_x_murabito	0x1a786e4112
0x3908	0x284	0x12c	float	captured_offset_y_murabito	0x1a97ac2a2c
0x3908	0x284	0x130	float	captured_offset_x_snake	0x17b2c45ef7
0x3908	0x284	0x134	float	captured_offset_y_snake	0x1714b35543
0x3908	0x284	0x138	float	star_scale	0x0ae3b1cda8
0x3908	0x284	0x13c	float	star_power	0x0aa47de98c
0x3908	0x284	0x140	float	egg_scale	0x09b37e6337
0x3908	0x284	0x144	float	egg_collision_size	0x128fe2057d
0x3908	0x284	0x148	float	egg_collision_offset_y_1	0x1865681389
0x3908	0x284	0x14c	float	egg_collision_offset_y_2	0x18fc614233
0x3908	0x284	0x150	float	egg_ground_collision_offset_x	0x1de4a117d9
0x3908	0x284	0x154	float	egg_ground_collision_offset_y	0x1d93a6274f
0x3908	0x284	0x158	float	egg_ground_collision_size	0x1932a8a717
0x3908	0x284	0x15c	float	diddy_clung_offset_x	0x141690a34c
0x3908	0x284	0x160	float	diddy_clung_offset_y	0x14619793da
0x3908	0x284	0x164	float	gaogaen_rope_offset_x	0x151f302b28
0x3908	0x284	0x168	float	gaogaen_rope_offset_y	0x1568371bbe
0x3908	0x284	0x16c	float	wario_bite_motion_frame	0x17c9fa097e
0x3908	0x284	0x170	float	wario_bite_offset_x	0x1361ff228d
0x3908	0x284	0x174	float	wario_bite_offset_y	0x1316f8121b
0x3908	0x284	0x178	float	donkey_shouldered_motion_frame	0x1e3a7e57cd
0x3908	0x284	0x17c	float	lr_dir	0x069b6261db
0x3908	0x284	0x180	float	cut_in_zoom_rate	0x100aaf9d94
0x3908	0x284	0x184	float	cut_in_camera_offset_y	0x16c59969ba
0x3908	0x284	0x188	float	hooked_offset_x_b	0x112ac55dbe
0x3908	0x284	0x18c	float	hooked_offset_y_b	0x112b073789
0x3908	0x284	0x190	float	hooked_offset_z_b	0x11294189d0
0x3908	0x284	0x194	float	dolly_super_special2_capture_motion_frame	0x29a986f904
0x3908	0x284	0x198	float	dolly_super_special2_capture_offset_x	0x256c212721
0x3908	0x284	0x19c	float	dolly_super_special2_capture_offset_y	0x251b2617b7
0x3908	0x284	0x1a0	float	dolly_super_special2_capture_offset_z	0x25822f460d
0x3908	0x284	0x1a4	float	pickel_capture_fence_scale	0x1a4e9ff7cc
0x3908	0x284	0x1a8	float	pickel_capture_fence_offset_x	0x1dea250ce6
0x3908	0x284	0x1ac	float	pickel_capture_fence_offset_y	0x1d9d223c70
0x3908	0x284	0x1b0	float	demon_dived_capture_motion_frame	0x20392ee2ad
0x3908	0x284	0x1b4	float	demon_dived_capture_offset_x	0x1cc196e93e
0x3908	0x284	0x1b8	float	demon_dived_capture_offset_y	0x1cb691d9a8
0x3908	0x284	0x1bc	float	demon_dived_capture_offset_z	0x1c2f988812
0x3908	0x284	0x1c0	float	demon_thrown_f_motion_frame	0x1b9a6e57d7
0x3908	0x284	0x1c4	float	demon_thrown_f_offset_x	0x17710acbd1
0x3908	0x284	0x1c8	float	demon_thrown_f_offset_y	0x17060dfb47
0x3908	0x284	0x1cc	float	demon_thrown_f_offset_z	0x179f04aafd
0x3908	0x284	0x1d0	float	demon_thrown_f_offset_rot_x	0x1be64b568c
0x3908	0x284	0x1d4	float	demon_thrown_f_offset_rot_y	0x1b914c661a
0x3908	0x284	0x1d8	float	demon_thrown_f_offset_rot_z	0x1b084537a0
0x3908	0x284	0x1dc	float	demon_thrown_lw_motion_frame	0x1c3e82fc66
0x3908	0x284	0x1e0	float	demon_thrown_lw_offset_x	0x1848e1e4c7
0x3908	0x284	0x1e4	float	demon_thrown_lw_offset_y	0x183fe6d451
0x3908	0x284	0x1e8	float	demon_thrown_lw_offset_z	0x18a6ef85eb
0x3908	0x284	0x1ec	float	demon_thrown_lw_offset_rot_x	0x1c42a7fd3d
0x3908	0x284	0x1f0	float	demon_thrown_lw_offset_rot_y	0x1c35a0cdab
0x3908	0x284	0x1f4	float	demon_thrown_lw_offset_rot_z	0x1caca99c11
0x3908	0x284	0x1f8	float	demon_thrown_b_motion_frame	0x1b83c2d8cc
0x3908	0x284	0x1fc	float	demon_thrown_b_offset_x	0x1778e16bab
0x3908	0x284	0x200	float	demon_thrown_b_offset_y	0x170fe65b3d
0x3908	0x284	0x204	float	demon_thrown_b_offset_z	0x1796ef0a87
0x3908	0x284	0x208	float	demon_thrown_b_offset_rot_x	0x1bffe7d997
0x3908	0x284	0x20c	float	demon_thrown_b_offset_rot_y	0x1b88e0e901
0x3908	0x284	0x210	float	demon_thrown_b_offset_rot_z	0x1b11e9b8bb
0x3908	0x284	0x214	float	demon_thrown_command_motion_frame	0x21bcd6abde
0x3908	0x284	0x218	float	demon_thrown_command_offset_x	0x1d6c20f8b4
0x3908	0x284	0x21c	float	demon_thrown_command_offset_y	0x1d1b27c822
0x3908	0x284	0x220	float	demon_thrown_command_offset_z	0x1d822e9998
0x3908	0x284	0x224	float	demon_thrown_command_offset_rot_x	0x21c0f3aa85
0x3908	0x284	0x228	float	demon_thrown_command_offset_rot_y	0x21b7f49a13
0x3908	0x284	0x22c	float	demon_thrown_command_offset_rot_z	0x212efdcba9
0x3908	0x284	0x230	float	unk_227b029775	0x227b029775
0x3908	0x284	0x234	float	unk_1ed6b5e960	0x1ed6b5e960
0x3908	0x284	0x238	float	unk_1ecfaed821	0x1ecfaed821
0x3908	0x284	0x23c	float	unk_1ee4838be2	0x1ee4838be2
0x3908	0x284	0x240	float	unk_2287c73a08	0x2287c73a08
0x3908	0x284	0x244	float	unk_229edc0b49	0x229edc0b49
0x3908	0x284	0x248	float	unk_22b5f1588a	0x22b5f1588a
0x3908	0x284	0x24c	float	trail_thrown_f_motion_frame	0x1b3c968429
0x3908	0x284	0x250	float	trail_thrown_f_offset_x	0x177bcaaf75
0x3908	0x284	0x254	float	trail_thrown_f_offset_y	0x170ccd9fe3
0x3908	0x284	0x258	float	trail_thrown_f_offset_z	0x1795c4ce59
0x3908	0x284	0x25c	float	trail_thrown_f_offset_rot_x	0x1b40b38572
0x3908	0x284	0x260	float	trail_thrown_f_offset_rot_y	0x1b37b4b5e4
0x3908	0x284	0x264	float	trail_thrown_f_offset_rot_z	0x1baebde45e
0x3908	0x284	0x268	float	trail_thrown_hi_motion_frame	0x1c4374d721
0x3908	0x284	0x26c	float	trail_thrown_hi_offset_x	0x1810ee818b
0x3908	0x284	0x270	float	trail_thrown_hi_offset_y	0x1867e9b11d
0x3908	0x284	0x274	float	trail_thrown_hi_offset_z	0x18fee0e0a7
0x3908	0x284	0x278	float	trail_thrown_hi_offset_rot_x	0x1c3f51d67a
0x3908	0x284	0x27c	float	trail_thrown_hi_offset_rot_y	0x1c4856e6ec
0x3908	0x284	0x280	float	trail_thrown_hi_offset_rot_z	0x1cd15fb756
0x477c8	0xac	0x0	kind	jostle_priority	0x0fcfb6ec2e
0x477c8	0xac	0x4	i32	ai_pri	0x0608b0dd4c
0x477c8	0xac	0x8	kind	trait_original	0x0e78a70025
0x477c8	0xac	0xc	bool	add_fighter_attack_log	0x1694dcda33
0x477c8	0xac	0x10	bool	eatable	0x07b7411898
0x477c8	0xac	0x14	bool	enemy_can_attack	0x1084dc026a
0x477c8	0xac	0x18	bool	ignore_effect_z	0x0f90bd7916
0x477c8	0xac	0x1c	bool	shoot_safe_pos	0x0eb47139ba
0x477c8	0xac	0x20	bool	search_detect_add_speed	0x1737087661
0x477c8	0xac	0x24	bool	paintable	0x0916306819
0x477c8	0xac	0x28	bool	ground_damage_enable	0x1403719667
0x477c8	0xac	0x2c	bool	counteract_spirits_power	0x182c28be51
0x477c8	0xac	0x30	bool	ignore_delete_by_stage	0x167f14c539
0x477c8	0xac	0x34	bool	ignore_delete_by_dolly_stage	0x1c9eca0772
0x477c8	0xac	0x38	bool	can_jump_by_tantan_stage	0x18a78ad9a4
0x477c8	0xac	0x3c	kind	pikmin_attach_kind	0x12d837c48f
0x477c8	0xac	0x40	bool	captured	0x084836a29d
0x477c8	0xac	0x44	i32	thrown_rot_kind	0x0f723e347c
0x477c8	0xac	0x48	kind	capture_murabito_size	0x153c8a0635
0x477c8	0xac	0x4c	kind	bound_flag	0x0a53ed7bd2
0x477c8	0xac	0x50	kind	size_kind	0x0950617a7d
0x477c8	0xac	0x54	kind	have_kind	0x096ab1d710
0x477c8	0xac	0x58	kind	scale_type	0x0a84ad23fe
0x477c8	0xac	0x5c	kind	slope_type	0x0aeee008a7
0x477c8	0xac	0x60	kind	flash_kind	0x0a0081b28a
0x477c8	0xac	0x64	kind	camera_kind	0x0bb12fc095
0x477c8	0xac	0x68	kind	attack_hitstop_kind	0x135721e134
0x477c8	0xac	0x6c	kind	hit_kind	0x0848721959
0x477c8	0xac	0x70	kind	hiteffect_kind	0x0e0033b829
0x477c8	0xac	0x74	kind	reflect_kind	0x0ce6ac6956
0x477c8	0xac	0x78	kind	shield_kind	0x0bd90c08b8
0x477c8	0xac	0x7c	kind	deadarea_kind	0x0d271187c8
0x477c8	0xac	0x80	kind	murabito_gen	0x0c90be852d
0x477c8	0xac	0x84	kind	flip_type	0x094ce18dac
0x477c8	0xac	0x88	kind	flip_type_duckhunt	0x12d6ccf070
0x477c8	0xac	0x8c	kind	have_offset	0x0b99524f72
0x477c8	0xac	0x90	kind	attacklog_type	0x0e104634c6
0x477c8	0xac	0x94	kind	cursor_display_type	0x13364a16df
0x477c8	0xac	0x98	bool	hitstop_mul_as_carrier	0x1659678720
0x477c8	0xac	0x9c	bool	camera_sleep_on_final	0x157c8c6993
0x477c8	0xac	0xa0	bool	sgw	0x034d2b16e4
0x477c8	0xac	0xa4	i32	pickel_capture_fence_type	0x19327d6d0a
0x477c8	0xac	0xa8	i32	unk_29b2138aa4	0x29b2138aa4
0x59a08	0xf0	0x0	hash40	name_hash	0x09960eb8cf
0x59a08	0xf0	0x8	hash40	hooked_node	0x0bfbb42ab9
0x59a08	0xf0	0x10	hash40	pikmin_attach_node	0x12668c9013
0x59a08	0xf0	0x18	hash40	palutena_target_node	0x1494931e95
0x59a08	0xf0	0x20	hash40	captured_motion	0x0fa6c7dc86
0x59a08	0xf0	0x28	hash40	captured_node	0x0d0ee8f65e
0x59a08	0xf0	0x30	hash40	thrown_node	0x0b359b6291
0x59a08	0xf0	0x38	hash40	clung_node	0x0a57bd5d58
0x59a08	0xf0	0x40	hash40	wario_bite_motion	0x1170722b81
0x59a08	0xf0	0x48	hash40	wario_bite_node	0x0f5c6b8f43
0x59a08	0xf0	0x50	hash40	status_when_reflect_count_max	0x1dc66594ae
0x59a08	0xf0	0x58	hash40	hooked_node_b	0x0d31fa7483
0x59a08	0xf0	0x60	hash40	dolly_super_special2_capture_motion	0x23799a8f79
0x59a08	0xf0	0x68	hash40	dolly_super_special2_capture_joint	0x222aa71e59
0x59a08	0xf0	0x70	hash40	demon_dived_capture_motion	0x1a5fd5129c
0x59a08	0xf0	0x78	hash40	demon_dived_capture_joint	0x19bc0a5769
0x59a08	0xf0	0x80	hash40	demon_thrown_f_motion	0x158c0836bd
